u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
-75,94,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-76,94,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-77,95,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-78,95,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-79,100,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-80,101,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-81,101,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-82,101,97,103.5,15,-55.35,0,-15,0,15,0,0,0,0
-82,102,97,103.35,15,-55.35,0,-15,0,15,0,0,0,0
-87,106,96,103.2,15,-55.2,0,-15,0,15,0,0,0,0
-86,107,96,102.9,15,-55.2,0,-15,0,15,0,0,0,0
-84,107,96,102.6,15,-55.05,0,-15,0,15,0,0,0,0
-82,107,96,102.3,15,-54.9,0,-15,0,15,0,0,0,0
-80,107,96,102,15,-54.6,0,-15,0,15,0,0,0,0
-78,111,96,101.7,15,-54.45,0,-15,0,15,0,0,0,0
-76,111,96,101.4,15,-54.3,0,-15,0,15,0,0,0,0
-72,111,96,100.95,15,-54,0,-15,0,15,0,0,0,0
-70,110,96,100.65,15,-53.7,0,-15,0,15,0,0,0,0
-68,114,96,100.35,15,-53.4,0,-15,0,15,0,0,0,0
-66,113,96,100.05,15,-53.1,0,-15,0,15,0,0,0,0
-62,113,96,99.6,15,-52.8,0,-15,0,15,0,0,0,0
-60,112,96,99.3,15,-52.5,0,-15,0,15,0,0,0,0
-62,115,95,98.85,15,-52.05,0,-15,0,15,0,0,0,0
-60,114,95,98.55,15,-51.6,0,-15,0,15,0,0,0,0
-56,114,95,98.1,15,-51.3,0,-15,0,15,0,0,0,0
-54,112,95,97.8,15,-50.85,0,-15,0,15,0,0,0,0
-50,115,95,97.35,15,-50.25,0,-15,0,15,0,0,0,0
-46,113,95,96.9,15,-49.8,0,-15,0,15,0,0,0,0
-42,112,95,96.45,15,-49.35,0,-15,0,15,0,0,0,0
-36,111,95,95.85,15,-48.75,0,-15,0,15,0,0,0,0
-32,113,95,95.4,15,-48.3,0,-15,0,15,0,0,0,0
-26,111,95,94.8,15,-47.7,0,-15,0,15,0,0,0,0
-22,109,95,94.35,15,-47.25,0,-15,0,15,0,0,0,0
-16,107,95,93.6,15,-46.65,0,-15,0,15,0,0,0,0
-15,109,94,93,15,-46.05,0,-15,0,15,0,0,0,0
-9,107,94,92.4,15,-45.45,0,-15,0,15,0,0,0,0
-1,105,94,91.65,15,-44.85,0,-15,0,15,0,0,0,0
4,103,94,91.05,15,-44.4,0,-15,0,15,0,0,0,0
9,105,94,90.6,15,-43.95,0,-15,0,15,0,0,0,0
12,104,94,90.3,15,-43.5,0,-15,0,15,0,0,0,0
15,102,94,90,15,-43.05,0,-15,0,15,0,0,0,0
16,100,94,90,15,-42.6,0,-15,0,15,0,0,0,0
18,102,94,89.85,15,-42.15,0,-15,0,15,0,0,0,0
19,101,94,89.85,15,-41.85,0,-15,0,15,0,0,0,0
19,99,94,89.85,15,-41.4,0,-15,0,15,0,0,0,0
14,101,93,89.85,15,-40.95,0,-15,0,15,0,0,0,0
14,100,93,89.85,15,-40.65,0,-15,0,15,0,0,0,0
16,98,93,89.7,15,-40.2,0,-15,0,15,0,0,0,0
18,96,93,89.55,15,-39.75,0,-15,0,15,0,0,0,0
22,98,93,89.25,15,-39.3,0,-15,0,15,0,0,0,0
25,97,93,88.95,15,-39,0,-15,0,15,0,0,0,0
28,95,93,88.65,15,-38.55,0,-15,0,15,0,0,0,0
32,93,93,88.35,15,-38.1,0,-15,0,15,0,0,0,0
36,95,93,88.05,15,-37.8,0,-15,0,15,0,0,0,0
38,94,93,87.9,15,-37.5,0,-15,0,15,0,0,0,0
39,92,93,87.9,15,-37.05,0,-15,0,15,0,0,0,0
32,95,92,88.05,15,-36.9,0,15,0,15,0,3000,0,0
31,94,92,88.2,15,-36.6,0,15,0,15,0,0,0,0
30,92,92,88.35,15,-36.3,0,15,0,15,0,0,0,0
28,91,92,88.65,15,-36.15,0,15,0,15,0,0,0,0
27,94,92,88.8,15,-35.85,0,15,0,15,0,0,0,0
26,93,92,88.95,15,-35.55,0,15,0,15,0,0,0,0
25,92,92,89.1,15,-35.4,0,15,0,15,0,0,0,0
25,94,92,89.1,15,-35.1,0,15,0,15,0,0,0,0
26,93,92,89.1,15,-34.8,0,15,0,15,0,0,0,0
28,92,92,88.95,15,-34.5,0,-15,0,15,0,-3000,0,0
29,90,92,88.8,15,-34.2,0,-15,0,15,0,0,0,0
25,93,91,88.65,15,-33.9,0,-15,0,15,0,0,0,0
27,92,91,88.5,15,-33.75,0,-15,0,15,0,0,0,0
29,91,91,88.35,15,-33.45,0,-15,0,15,0,0,0,0
31,93,91,88.2,15,-33.15,0,-15,0,15,0,0,0,0
31,92,91,88.2,15,-33,0,-15,0,15,0,0,0,0
31,91,91,88.2,15,-32.7,0,-15,0,15,0,0,0,0
30,94,91,88.35,15,-32.55,0,15,0,15,0,3000,0,0
29,94,91,88.5,15,-32.4,0,15,0,15,0,0,0,0
30,93,91,88.5,15,-32.25,0,15,0,15,0,0,0,0
29,92,91,88.65,15,-32.1,0,15,0,15,0,0,0,0
23,96,90,88.65,15,-31.95,0,15,0,15,0,0,0,0
22,95,90,88.8,15,-31.8,0,15,0,15,0,0,0,0
22,94,90,88.8,15,-31.65,0,15,0,15,0,0,0,0
22,98,90,88.8,15,-31.5,0,15,0,15,0,0,0,0
24,97,90,88.65,15,-31.2,0,-15,0,15,0,-3000,0,0
24,96,90,88.65,15,-31.05,0,-15,0,15,0,0,0,0
26,100,90,88.5,15,-30.9,0,-15,0,15,0,0,0,0
26,99,90,88.5,15,-30.75,0,-15,0,15,0,0,0,0
27,99,90,88.35,15,-30.6,0,-15,0,15,0,0,0,0
28,97,90,88.35,15,-30.3,0,-15,0,15,0,0,0,0
22,101,89,88.35,15,-30.15,0,-15,0,15,0,0,0,0
20,101,89,88.5,15,-30,0,15,0,15,0,3000,0,0
20,100,89,88.5,15,-29.85,0,15,0,15,0,0,0,0
19,104,89,88.65,15,-29.7,0,15,0,15,0,0,0,0
19,103,89,88.65,15,-29.4,0,15,0,15,0,0,0,0
19,102,89,88.65,15,-29.25,0,15,0,15,0,0,0,0
19,105,89,88.65,15,-28.95,0,15,0,15,0,0,0,0
19,105,89,88.65,15,-28.65,0,15,0,15,0,0,0,0
19,104,89,88.65,15,-28.35,0,15,0,15,0,0,0,0
21,102,89,88.5,15,-28.05,0,-15,0,15,0,-3000,0,0
15,106,88,88.5,15,-27.75,0,-15,0,15,0,0,0,0
15,104,88,88.5,15,-27.3,0,-15,0,15,0,0,0,0
15,103,88,88.5,15,-27,0,-15,0,15,0,0,0,0
15,106,88,88.5,15,-26.7,0,-15,0,15,0,0,0,0
14,104,88,88.5,15,-26.25,0,-15,0,15,0,0,0,0
14,103,88,88.5,15,-25.95,0,-15,0,15,0,0,0,0
14,106,88,88.5,15,-25.5,0,-15,0,15,0,0,0,0
14,104,88,88.5,15,-25.05,0,-15,0,15,0,0,0,0
13,102,88,88.65,15,-24.6,0,15,0,15,0,3000,0,0
13,101,88,88.65,15,-24.3,0,15,0,15,0,0,0,0
6,104,87,88.65,15,-23.85,0,15,0,15,0,0,0,0
6,101,87,88.65,15,-23.25,0,15,0,15,0,0,0,0
6,99,87,88.65,15,-22.8,0,15,0,15,0,0,0,0
6,102,87,88.65,15,-22.35,0,15,0,15,0,0,0,0
7,100,87,88.5,15,-21.75,0,-15,0,15,0,-3000,0,0
7,97,87,88.5,15,-21.3,0,-15,0,15,0,0,0,0
6,95,87,88.5,15,-20.85,0,-15,0,15,0,0,0,0
6,97,87,88.5,15,-20.25,0,-15,0,15,0,0,0,0
6,95,87,88.5,15,-19.8,0,-15,0,15,0,0,0,0
6,93,87,88.5,15,-19.35,0,-15,0,15,0,0,0,0
0,94,86,88.5,15,-18.75,0,-15,0,15,0,0,0,0
-1,92,86,88.65,15,-18.3,0,15,0,15,0,3000,0,0
-2,89,86,88.65,15,-17.7,0,15,0,15,0,0,0,0
-2,87,86,88.65,15,-17.25,0,15,0,15,0,0,0,0
-3,89,86,88.65,15,-16.8,0,15,0,15,0,0,0,0
-3,87,86,88.65,15,-16.35,0,15,0,15,0,0,0,0
-3,85,86,88.65,15,-15.9,0,15,0,15,0,0,0,0
-4,86,86,88.65,15,-15.45,0,15,0,15,0,0,0,0
-4,84,86,88.65,15,-15,0,15,0,15,0,0,0,0
-5,82,86,88.65,15,-14.55,0,15,0,15,0,0,0,0
-4,79,86,88.5,15,-13.95,0,-15,0,15,0,-3000,0,0
-10,81,85,88.5,15,-13.65,0,-15,0,15,0,0,0,0
-11,79,85,88.5,15,-13.2,0,-15,0,15,0,0,0,0
-11,76,85,88.5,15,-12.75,0,-15,0,15,0,0,0,0
-13,78,85,88.65,15,-12.3,0,15,0,15,0,3000,0,0
-14,76,85,88.65,15,-11.85,0,15,0,15,0,0,0,0
-14,74,85,88.65,15,-11.55,0,15,0,15,0,0,0,0
-15,71,85,88.65,15,-11.1,0,15,0,15,0,0,0,0
-15,73,85,88.65,15,-10.8,0,15,0,15,0,0,0,0
-16,71,85,88.65,15,-10.35,0,15,0,15,0,0,0,0
-16,69,85,88.65,15,-10.05,0,15,0,15,0,0,0,0
-17,67,85,88.65,15,-9.75,0,15,0,15,0,0,0,0
-24,69,84,88.65,15,-9.3,0,15,0,15,0,0,0,0
-24,66,84,88.65,15,-9,0,15,0,15,0,0,0,0
-25,64,84,88.65,15,-8.7,0,15,0,15,0,0,0,0
-26,63,84,88.65,15,-8.55,0,15,0,15,0,0,0,0
-26,65,84,88.65,15,-8.25,0,15,0,15,0,0,0,0
-27,63,84,88.65,15,-7.95,0,15,0,15,0,0,0,0
-28,62,84,88.65,15,-7.8,0,15,0,15,0,0,0,0
-29,60,84,88.65,15,-7.5,0,15,0,15,0,0,0,0
-29,62,84,88.65,15,-7.35,0,15,0,15,0,0,0,0
-30,61,84,88.65,15,-7.2,0,15,0,15,0,0,0,0
-31,60,84,88.65,15,-7.05,0,15,0,15,0,0,0,0
-31,58,84,88.65,15,-6.9,0,15,0,15,0,0,0,0
-38,61,83,88.65,15,-6.75,0,15,0,15,0,0,0,0
-39,60,83,88.65,15,-6.6,0,15,0,15,0,0,0,0
-40,59,83,88.65,15,-6.6,0,15,0,15,0,0,0,0
-41,58,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-42,61,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-42,61,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-43,60,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-44,60,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-45,59,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-46,63,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-47,63,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-48,62,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-48,62,83,88.65,15,-6.45,0,15,0,15,0,0,0,0
-55,66,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-56,65,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-57,65,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-58,65,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-59,65,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-60,69,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-61,68,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
